Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"Mini boat noodles, beef",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (573g),406.83,22.35,10.6,55.01,4.01,82.51,13.18
"Mini boat noodles, pork",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (565g),423.75,22.6,12.37,55.37,3.39,71.76,11.87
"Noodle snack, chicken flavoured, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Packet (30g),136.8,3.3,4.68,20.37,0.21,6,
"Noodles, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (70g),233.05,7.56,0.77,49,2.31,36.4,1.33
"Noodles, dried, instant, without seasoning",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (68g),288.32,6.66,9.66,43.66,0.48,25.84,1.97
"Noodles, egg, cooked, unenriched",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (160g),220.8,7.2,3.36,38.34,1.92,19.2,0.64
"Noodles, instant, dry, with seasoning, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (160g),329.6,8.32,14.42,41.6,1.44,19.36,5.76
"Noodles, instant, soup with seasoning, cooked",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (503g),467.79,12.58,18.81,61.87,3.02,41.75,4.53
"Noodles, laksa, thick, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (128g),443.9,10.24,0.26,100.1,2.3,11.52,2.18
"Noodles, laksa, thick, wet",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (118g),182.75,0.24,0.12,45.08,0.47,4.72,0.94
"Noodles, rice",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (141g),177.6,0.85,0.42,42.58,1.41,5.64,
"Noodles, sago, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Gram (1g),3.32,0,0,0.83,,0.27,
Pad thai,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-20cm (404g),844.36,39.19,45.65,66.26,7.68,169.68,14.54
"Pasta, egg, boiled, without salt",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (200g),287.56,11.4,1.2,54.8,3.8,12,0
"Pasta, marinara",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (230g),319.7,21.85,11.04,30.59,4.37,87.4,1.38
"Pasta, spinach, boiled, without salt",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (200g),265.08,7.6,0.8,54.6,2.8,30,0.4
"Pasta, white, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (220g),307.36,9.24,0.66,62.48,4.62,22,0
"Pasta, white, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (100g),334.44,10,1.4,67.6,3.2,18,0
"Pasta, wholemeal, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (375g),489.36,21.75,3,92.25,21.38,105,0
"Pasta, wholemeal, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (144g),458.43,18.58,3.17,87.26,16.56,90.72,0
Plain Pesto Pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (314g),580.9,18.84,32.97,51.81,3.77,194.37,5.02
Plain aglio aglio,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (266g),340.48,13.3,10.4,48.68,3.99,42.56,2.93
Popiah skin,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (10g),22.71,0.84,0.1,4.57,0.22,6,
Pork chop with spaghetti,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (406g),458.78,34.1,17.86,39.79,3.65,88.1,8.93
"Prata bomb, with margarine & sugar",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (351g),793.26,16.85,38.75,94.42,3.86,59.32,23.52
Raw bee hoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Packet (768g),1082.88,19.97,3.84,243.46,3.84,46.08,0
Raw spaghetti,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Packet (401g),1463.65,41.3,6.42,309.57,15.64,108.27,0
Seafood tom yum ban mian,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (1057g),613.06,33.82,13.64,89.85,7.4,285.39,13.74
"Spaghetti, wholemeal, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (148g),193.14,8.58,1.18,36.41,8.44,41.44,0
"Spaghetti, with added salt, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (140g),219.8,8.12,1.26,42.84,2.52,9.8,0.84
"Spaghetti, without added salt, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (140g),221.2,8.12,1.26,43.26,2.52,9.8,0.84
"Spinach noodles, dried",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',1 portion (50g),177,6.55,0.55,36.5,1.25,12,0.5
Suan la mian,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (732g),570.96,21.96,20.79,73.2,8.05,147.13,10.25
"Tortillas, ready-to-bake or -fry, flour",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (30g),93.6,2.49,2.34,14.49,0.93,38.7,0.57
"Udon, wet",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',1 portion (200g),270,5.2,0.2,61.4,1.6,8,1.4
Vegetable U-Mian,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (989g),534.06,25.71,12.86,78.13,5.93,137.47,7.91
Vietnamese fresh spring roll,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (61.2g),78.95,4.53,1.8,11.14,0.43,11.63,0.37
Vietnamese fried spring roll,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-20cm (217g),705.25,21.7,44.72,53.82,3.91,55.12,2.17
Yaki udon with chicken,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (445g),516.2,23.59,23.85,52.07,5.79,91.23,7.12
"soba, boiled",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (114g),150.48,5.47,1.14,29.41,0.23,10.26,1.37
"Century egg, whole",EGG AND EGG PRODUCTS,"Duck eggs (eg salted, century)",Whole (115g),189.75,15.99,10.7,7.48,0,78.2,
"Egg, duck, whole, salted",EGG AND EGG PRODUCTS,"Duck eggs (eg salted, century)",Whole (67.3g),127.88,8.55,8.55,4.24,0,79.41,
"Egg, duck, yolk, salted",EGG AND EGG PRODUCTS,"Duck eggs (eg salted, century)",Whole (17g),96.56,3.88,9.01,0,0,31.45,0
"Egg white, dried",EGG AND EGG PRODUCTS,Hen eggs,Gram (1g),3.82,0.81,0,0.08,0,0.62,0.08
"Egg, hen, poached",EGG AND EGG PRODUCTS,Hen eggs,Whole (50g),74.93,6.15,5.6,0.15,0,26.5,0.15
"Egg, hen, scrambled with whole milk, butter and pepper",EGG AND EGG PRODUCTS,Hen eggs,Tablespoon (20.55g),33.5,2.14,2.77,0.08,0,15.21,0.08
"Egg, hen, white, hard boiled",EGG AND EGG PRODUCTS,Hen eggs,Whole (29g),14.14,3.36,0,0.12,0,1.74,0.12
"Egg, hen, whole, hard boiled",EGG AND EGG PRODUCTS,Hen eggs,Whole (55g),83.08,7.26,6,0.17,0,23.65,0.17
"Egg, hen, yolk, hard boiled",EGG AND EGG PRODUCTS,Hen eggs,Whole (17g),58.91,2.74,5.39,0.03,0,19.55,0.03
Eggs benedict,EGG AND EGG PRODUCTS,Hen eggs,Plate-23cm (291g),669.3,31.72,49.38,24.44,4.07,248.51,4.66
Hong kong egglets,EGG AND EGG PRODUCTS,Hen eggs,Piece (141g),445.56,11,12.97,71.06,0.99,133.81,30.46
"Omelette, plain",EGG AND EGG PRODUCTS,Hen eggs,1 portion (24g),39.69,2.93,3.14,0,0,11.52,0
Egg powder,EGG AND EGG PRODUCTS,"Others (eg turtle eggs, egg substitutes)",Gram (1g),4.44,0.56,0.13,0.22,0,3.26,0.22
"Omelette, yolk free egg mix, pan fried in butter",EGG AND EGG PRODUCTS,"Others (eg turtle eggs, egg substitutes)",1 portion (120g),205.35,12.72,15.36,4.68,0,115.2,4.68
"6-Inch Honey Oat Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (80g),231.2,8.8,2.9,39,4,69.6,7
"6-Inch Wheat Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (69g),189.75,8.28,,32,,,3
"6-inch Oven Roasted Chicken Breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),305.9,23,5.29,40.94,,75.9,5.98
"6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (267g),355.11,26.7,,,4.01,,17.01
"6-inch Turkey Breast and Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (219g),271.56,19.71,,38,,181.77,6
"6-inch Turkey breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),260.4,18.9,3.91,37,3.99,,6.01
"Apple pie, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Piece (85g),232.05,1.7,,26,2,7.65,8.84
Beef burger with cheese,FAST FOODS,All fast food outlets in alphabetical order,Whole (118g),300.12,,12,32,2.31,,0
"Burger, double whopper with cheese, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Piece (375g),997.5,52.5,63.98,44.7,,292.5,13.54
"Cheeseburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (133g),380.38,,19.7,27.81,,123.69,
"Chic Delite 10"" Regular Crispy Thin Pizza, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (61g),140.3,9.15,4.1,,,,2.5
"Chicken Drumlets, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Piece (35g),85.05,,,1.09,0.46,3.5,1.09
"Chicken Tenders, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (78g),225.42,,,11.79,,11.7,0.09
"Chicken mushroom chowder, Pizza Hut (NNS)",FAST FOODS,All fast food outlets in alphabetical order,1 portion (240g),192,7.2,10.56,,3.36,,
"Chicken nuggets, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Piece (17g),55.25,3.06,2.5,2.67,0.17,1.7,
"Chicken, breast, KFC, hot and crispy",FAST FOODS,All fast food outlets in alphabetical order,Piece (160g),390.4,30.4,,13.6,1.76,35.2,
"Chicken, breast, KFC, original recipe",FAST FOODS,All fast food outlets in alphabetical order,Piece (178g),380.92,40.94,21.54,10.09,1.25,46.28,0
"Chicken, colonel's crispy strips, KFC",FAST FOODS,All fast food outlets in alphabetical order,Gram (1g),3.23,0.19,0.19,0.19,0.01,0.13,
"Coleslaw, KFC",FAST FOODS,All fast food outlets in alphabetical order,Cup (80g),98.4,,7,7.7,1.6,22.4,7.62
"Deli Style Roll, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (58g),164.72,5.22,,29,0.99,,1.97
"Filet-o-fish, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (136g),350.88,13.6,15,,,153.68,4.49
"Fillet Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (135g),349.65,,,30.29,1.89,105.3,
"Fish and chicken dinner, Long John Silver's",FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (110g),224.26,8.58,13.2,,0.88,0,
"Fish and fryer, Long John Silver's",FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (111g),270.87,13.65,15.21,,0.09,29.97,
"Fish dinner, Long John Silver's",FAST FOODS,All fast food outlets in alphabetical order,1 portion (85g),186.9,7.4,11.05,14.62,1.87,,
"Fish, breaded, fried, Long John Silver's",FAST FOODS,All fast food outlets in alphabetical order,Piece (85g),170,11,,11.99,5,14.96,11.99
"French fries, large, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (140g),441,5.6,,55.01,5,21,0
"French fries, medium, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (116g),373.52,3.48,19,,4,19.72,0.23
"French fries, regular, Mos Burger",FAST FOODS,All fast food outlets in alphabetical order,Packet (90g),221.4,,11.7,,2.79,12.6,
"Hamburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (123g),338.25,,14.97,30.89,,62.73,5.97
"Hash Brown, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (71g),232.17,2.13,,20.95,1.92,,0.17
"Honey, Mc Donald's",FAST FOODS,All fast food outlets in alphabetical order,Tablespoon (21g),67.2,0.08,,16.72,0,1.05,16.4
KFC cheese fries,FAST FOODS,All fast food outlets in alphabetical order,Plate-16cm (186g),571.02,,41.5,44.7,2.98,65.1,
"Meat Galore 10"" Regular Crispy Thin Pizza, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (61g),176.29,10.98,8.3,13.7,1.8,73.2,1.6
"Milk shake, chocolate, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Glass (250ml) (360g),396,18,9,,,406.8,67
"Milkshake, vanilla, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Cup (360g),388.8,14.4,9,67,0,,64.44
"Mini Italian (white) Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),127.8,4.95,2,23,1,,
"Oatmeal Raisin Cookies, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),199.8,3.15,,30,,45,17
"Original Whopper Burger with cheese, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (340g),850,37.4,52.12,53.38,,278.8,13.97
"Original Whopper Junior Burger with Cheese, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (185g),462.5,20.35,28.36,,,,7.6
"Pizza, pan, supreme, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (130g),297.28,,14.34,,,111.84,0.7
"Pizza, thin n crispy, supreme, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),258,,11.5,,3.1,156,
"Potato, mashed, with gravy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Cup (95g),51.3,1.9,0.3,10.4,1.43,12.35,
"Quarter Pounder with Cheese, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (199g),513.42,29.03,28.3,,,286.56,9.77
"Ribs, hot and crispy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (93g),220.41,,,10,0.56,,0.09
"Ribs, original recipe, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (105g),257.25,27.3,23.5,,0.63,13.65,0.05
"Roast Beef Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),120.4,10.32,2.79,13,3.99,,4.99
"Sauce, sweet and sour, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (28.3g),53.06,0.18,0.18,,0,9.73,0
"Seafood platter, Long John silver's",FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (1g),2.39,0.07,0.14,0.21,0,0.5,
Vegetarian pizza,FAST FOODS,All fast food outlets in alphabetical order,Slice (95g),185.25,8.08,6.65,22.8,,,
"Veggie Lover's 12"" Large Pan Pizza, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (85g),190.4,8.5,6.3,25.1,2.8,0,4.8
"Veggie Lover's 9"" Regular Pan Pizza, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (78g),167.7,,,22,2.3,0,3.7
"Winglets, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (73g),210.97,10.22,13.1,12.7,,,
Belacan,FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Piece (44g),127.16,2.68,1.1,26.71,1.23,70.84,22.26
"Crab, blue/sea, boiled",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Whole (262g),222.67,47.16,3.14,1.31,0,440.16,1.31
"Crab, freshwater, boiled",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Whole (262g),280.35,50.3,6.03,6.03,0,592.12,
Crabmeat,FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",1 portion (45g),27.9,5.22,0.54,0.5,0,103.95,
Dried shrimp,FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",1 portion (100g),250,58,2,0,0,448,0
"Lobster, cooked",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Cup (165g),160.66,36.3,1.49,0,0,74.25,0
"Shrimp, fermented",FISH AND FISH PRODUCTS,"Crustaceans (eg crabs, lobsters, crayfish)",Tablespoon (20g),10.8,1.82,0.16,0.52,0,92.8,
"Anchovy, canned in oil, drained",FISH AND FISH PRODUCTS,Fish and roe,Whole (3.6g),6.56,,0.32,0,0,6.01,0
"Cod, coral, smoked, simmered",FISH AND FISH PRODUCTS,Fish and roe,Piece (95g),89.3,19.1,1.43,0,0,0,0
"Fish cracker, fried",FISH AND FISH PRODUCTS,Fish and roe,Piece (6.6g),33.07,0.54,,4.09,0.05,10.03,0.01
"Fish finger, frozen, uncooked",FISH AND FISH PRODUCTS,Fish and roe,Piece (27g),54,2.73,3.11,,0.19,8.37,0
"Fish finger, grilled or baked",FISH AND FISH PRODUCTS,Fish and roe,Stick (23g),50.83,2.67,2.6,,0.18,8.05,0.18
"Fish patty, breaded, fried",FISH AND FISH PRODUCTS,Fish and roe,Piece (91g),211.12,13.34,,,0.46,16.38,0.67
"Fish roe, black",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (19g),17.53,2.07,,0,0,,0
"Fish roe, fresh",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (19g),27.34,4.26,1.08,0.15,0,2.47,
"Fish roe, red",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (19g),28.65,,,0,0,5.51,0
"Fish roe, unspecified type",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (19g),23.18,2.87,,0,,3.8,0
"Fish slices, fried",FISH AND FISH PRODUCTS,Fish and roe,1 portion (167g),392.45,,,26.55,2.84,,9.19
"Fish, battered, deep fried, commercial",FISH AND FISH PRODUCTS,Fish and roe,Piece (146g),439.46,22.19,29.64,21.32,0.44,,0
"Fish, bladder, unspecified, dried",FISH AND FISH PRODUCTS,Fish and roe,Piece (25g),85.21,,,0,0,,0
"Fish, crumbed, frozen, oven fried",FISH AND FISH PRODUCTS,Fish and roe,Piece (65g),152.1,7.67,9.43,8.84,0.39,13.65,0.39
"Fish, maw. soaked",FISH AND FISH PRODUCTS,Fish and roe,Packet (111g),130.98,14.65,7.77,0.56,0,7.77,0
"Fish, unspecified, dried, salted",FISH AND FISH PRODUCTS,Fish and roe,Piece (25g),45.71,,,,,43.5,
"Flake, shark, steamed",FISH AND FISH PRODUCTS,Fish and roe,Piece (150g),187.68,45.45,0.3,,0,12,0
"Fried fish, unspecified",FISH AND FISH PRODUCTS,Fish and roe,Whole (100g),232,,12.58,9.7,,,0
Ikan bilis,FISH AND FISH PRODUCTS,Fish and roe,Plate-16cm (49g),148.67,,,,0,108.88,0.58
Longtail shad,FISH AND FISH PRODUCTS,Fish and roe,Whole (378g),619.92,68.8,38.39,,0,374.22,0
"Mackerel, salted",FISH AND FISH PRODUCTS,Fish and roe,Piece (40g),62.81,,,4.96,,,
Red tilapia,FISH AND FISH PRODUCTS,Fish and roe,Whole (313g),272.31,55.71,5.63,0,0,97.03,0
Saba mackerel,FISH AND FISH PRODUCTS,Fish and roe,Piece (50g),133,8.7,10.9,0,,45,0
"Salmon, australian canned in brine, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (210g),341.63,43.05,,,0,,0
"Salmon, grilled",FISH AND FISH PRODUCTS,Fish and roe,1 portion (122g),169.58,,5.25,0,,,0
"Salmon, red, canned in brine",FISH AND FISH PRODUCTS,Fish and roe,Cup (240g),414.55,46.56,25.44,0,,441.6,0
"Salmon, red, canned in brine, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (210g),383.84,43.05,,0,,407.4,0
"Sardine, canned in oil",FISH AND FISH PRODUCTS,Fish and roe,Cup (110g),337.63,,29.26,0,0,332.2,0
"Sardine, canned in oil, drained",FISH AND FISH PRODUCTS,Fish and roe,Whole (15g),32.87,3.15,,0,,55.05,0
"Sardine, canned in tomato sauce, undrained",FISH AND FISH PRODUCTS,Fish and roe,Cup (210g),340.2,35.7,20.79,2.94,,903,2.94
"Scad, hairtail, dried",FISH AND FISH PRODUCTS,Fish and roe,Whole (53g),88.51,19.24,1.06,0,,,
Sea bass,FISH AND FISH PRODUCTS,Fish and roe,Piece (333g),286.38,,3.66,,0,,0
"Shark's fin, dried",FISH AND FISH PRODUCTS,Fish and roe,Gram (1g),3.52,0.83,0,0,0,0.65,
"Shishamo, semi-dried, baked",FISH AND FISH PRODUCTS,Fish and roe,Piece (20g),35.4,,,0.04,0,72,0
"Snapper, golden striped",FISH AND FISH PRODUCTS,Fish and roe,Whole (305g),311.27,64.05,5.8,0.31,0,,
"Snapper, red",FISH AND FISH PRODUCTS,Fish and roe,Whole (673g),675.02,139.98,,,0,,
Sole fish,FISH AND FISH PRODUCTS,Fish and roe,Whole (293g),260.77,53.62,5.13,,0,76.18,0
Spotted trevally,FISH AND FISH PRODUCTS,Fish and roe,Whole (543g),439.83,104.8,2.14,0,,,0
"Steamed fish, unspecified",FISH AND FISH PRODUCTS,Fish and roe,Piece (185g),205.35,37.37,6.15,0,,18.5,0
Swordfish,FISH AND FISH PRODUCTS,Fish and roe,Piece (288g),385.92,53.57,19.07,0,0,17.28,0
"Threadfin, dried, whole",FISH AND FISH PRODUCTS,Fish and roe,Slice (40g),71.22,,0.76,0,,44.8,
"Tuna sandwich type, canned in oil",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (40g),101.05,7.24,8.08,,,3.2,0
"Tuna with mayonnaise spread, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (150g),225,18.6,15,4.2,2.1,13.5,4.2
"Tuna, canned in brine",FISH AND FISH PRODUCTS,Fish and roe,Can (195g),202.92,43.1,,0,0,15.6,0
"Tuna, canned in brine, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (190g),225.91,45.22,4.75,0,0,,0
"Tuna, canned in oil",FISH AND FISH PRODUCTS,Fish and roe,Can (195g),565.4,,,0,0,9.75,0
"Tuna, canned in water, drained",FISH AND FISH PRODUCTS,Fish and roe,Can (172g),220.16,,5.11,0,0,24.08,0
"Tuna, in chilli and tomato, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (184g),202.4,27.78,7.73,5.7,,382.72,5.52
"Tuna, in curry, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (179g),232.7,15.39,,17.01,4.65,69.81,10.2
"Tuna, little",FISH AND FISH PRODUCTS,Fish and roe,Piece (73g),85.4,16.94,1.97,,0,14.6,
"Tuna, salad, with thousand island dressing, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (176g),244.64,23.76,12.14,10.56,3.52,86.24,5.98
"Tuna, sashimi style",FISH AND FISH PRODUCTS,Fish and roe,Slice (15g),15.9,3.86,0.05,0,,0.6,0
Yellowtail,FISH AND FISH PRODUCTS,Fish and roe,Whole (261g),219.24,,2.35,,0,,0
"Abalone, canned, brine only",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Can (244g),75.64,12.2,0.1,6.34,0,14.64,0
"Abalone, canned, drained",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Can (212g),178.08,36.46,1.06,5.94,0,33.92,0
"Cuttlefish cracker, fried",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Packet (80g),343.2,4.16,8.56,62.32,0,36.8,
"Cuttlefish snack, prepared",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Packet (40g),141.2,15,0.32,19.6,0.08,20.4,
"Cuttlefish, cooked",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Cup (200g),316,64.96,2.8,3.28,0,360,
"Cuttlefish, dried",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Piece (13g),39.05,7.88,0.36,1.07,0,12.48,
Imitation scallop cake,FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Piece (48g),66.24,3.94,1.06,10.27,0.82,63.36,1.87
Salted egg squid,FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Plate-20cm (215g),814.85,23.44,63.27,38.06,2.37,130.08,7.96
"Sea cucumber, soaked",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Piece (337g),90.99,21.57,0.34,0.34,0,124.69,0
"Seafood tempura snacks, assorted",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Plate-16cm (130g),361.4,6.89,16.69,46.02,1.17,51.48,10.4
"Abalone, canned",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (64g),64.64,13.95,0.32,0.64,0,17.28,0.64
"Abalone, dried",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Teaspoon (10.5g),31.82,6.77,0.21,0.3,0,11.55,0.3
"Cockle, boiled",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (8.6g),5.07,0.73,0.04,0.43,0,4.21,
"Crayfish, steamed",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (25g),20.5,4.2,0.3,0,0,15,0
Fried ebi and teriyaki chicken bento set (tested on fried ebi only),FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Plate-23cm (495g),1593.9,36.14,105.29,125.24,6.44,107.91,4.46
Lobster roll hotdog,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (303g),1331.38,54.6,73.3,113.32,4.64,279.18,21.63
"Mollusks, scallop, mixed species, cooked, breaded and fried",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (big) (15.5g),33.48,2.8,1.7,1.57,,6.51,
"Mussel, smoked, canned in oil, drained",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Cup (160g),282.5,33.28,16.64,6.56,0,108.8,0
"Oyster, dried",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (4g),14.2,1.91,0.37,0.8,0,6.28,
"Oyster, smoked, canned in oil, drained",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (6g),10.61,1.04,0.72,0.42,0,2.52,0
Sambal lala,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Plate-23cm (322g),379.96,25.44,25.34,12.88,6.44,325.22,8.69
"Scallop, boiled",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (56g),58,12.43,0.84,0.28,0,16.24,0
